,,Job No,Cost Code No,"Cost
Description",Original Estimated Costs,"Approved
CO's","Revised
Est
Cost","Costs
to Date","Remaining
Budget","Remaining 
Commited
Cost","Projected 
(Over)/Under","% Variance
Actual Vs
Budget"
,,25-01     ,         1,General Conditions,,,,108.8000000,-108.8000000,,-108.8000000,
,,25-01     ,         2,Shop Drawings,8750.0000000,,8750.0000000,6000.0000000,2750.0000000,,2750.0000000,68.5714285714285696
,,25-01     ,         3,Overnight Lodging Expenses,,,,7077.3500000,-7077.3500000,,-7077.3500000,
,,25-01     ,         4,Storefront, Curtain Wall and A,31855.0000000,8094.4300000,39949.4300000,58872.7100000,-18923.2800000,,-18923.2800000,147.368085101589696
,,25-01     ,         7,Door Hardware,39820.0000000,17627.8300000,57447.8300000,65332.4900000,-7884.6600000,1637.4200000,-9522.0800000,113.724904839747632
,,25-01     ,         8,Windows,222761.0000000,1700.0000000,224461.0000000,231825.0000000,-7364.0000000,,-7364.0000000,103.280748103233968
,,25-01     ,         9,Interior / Transaction Windows,15500.0000000,,15500.0000000,,15500.0000000,,15500.0000000,
,,25-01     ,        11,Insulated & Monolithic Glass,51971.0000000,,51971.0000000,33270.3800000,18700.6200000,,18700.6200000,64.017201901060224
,,25-01     ,        12,Interior Glass Systems & Hardw,,,,,,677.9200000,-677.9200000,
,,25-01     ,        15,Break Metal,6464.0000000,,6464.0000000,1032.1100000,5431.8900000,,5431.8900000,15.9670482673267328
,,25-01     ,        16,Sealant,4846.0000000,,4846.0000000,8520.8500000,-3674.8500000,,-3674.8500000,175.832645480808928
,,25-01     ,        17,Steel,924.0000000,,924.0000000,1797.9400000,-873.9400000,,-873.9400000,194.582251082251072
,,25-01     ,        18,Rental Equipment,10650.0000000,,10650.0000000,6687.1900000,3962.8100000,,3962.8100000,62.7905164319248768
,,25-01     ,        19,Tools & Small Equipment,2770.0000000,,2770.0000000,98.5800000,2671.4200000,,2671.4200000,3.55884476534296
,,25-01     ,        20,Miscellaneous,2770.0000000,14355.0000000,17125.0000000,19343.2400000,-2218.2400000,,-2218.2400000,112.953226277372288
,,25-01     ,        22,In House Installation Labor,76086.0000000,4640.0000000,80726.0000000,79144.4800000,1581.5200000,,1581.5200000,98.0408790228674688
,,25-01     ,        23,In House Fabrication Labor,6225.0000000,450.0000000,6675.0000000,12103.0600000,-5428.0600000,,-5428.0600000,181.319250936329568
,,25-01     ,        24,Subcontracted Installation Lab,3300.0000000,,3300.0000000,,3300.0000000,,3300.0000000,
,,25-01     ,        26,QC/Rework Labor,,,,89.6500000,-89.6500000,,-89.6500000,
,,25-01     ,        28,Project Management ,15130.0000000,,15130.0000000,21967.7900000,-6837.7900000,,-6837.7900000,145.19358889623264
,,25-01     ,        30,Hardware ,3526.0000000,700.0000000,4226.0000000,254.2700000,3971.7300000,,3971.7300000,6.01680075721722624
,,25-01     ,        31,Fire Rated / Blast Resistant ,11400.0000000,88290.0000000,99690.0000000,62761.0800000,36928.9200000,29207.5000000,7721.4200000,62.9562443575082752
,,25-01     ,        32,Shipping,2000.0000000,,2000.0000000,1284.8900000,715.1100000,,715.1100000,64.2445
,,25-01     ,        37,Estimating (Pre-Bid) ,,,,127.9100000,-127.9100000,,-127.9100000,
,,25-01     ,        38,Health ,,,,1915.2700000,-1915.2700000,,-1915.2700000,
,,25-01     ,        39,Dental,,,,126.6500000,-126.6500000,,-126.6500000,
,,25-01     ,        40,Vision,,,,60.4400000,-60.4400000,,-60.4400000,
,,25-01     ,        41,Field Management,,,,9886.0400000,-9886.0400000,,-9886.0400000,
,,25-01     ,        42,Shop Management,,,,3003.8300000,-3003.8300000,,-3003.8300000,
** Westerville City Hall Totals **,
,,25-01     ,,,516748.0000000,135857.2600000,652605.2600000,632692.0000000,19913.2600000,31522.8400000,-11609.5800000,96.9486516244138112
,
Client Name: ,1012 - ELFORD
Original Contract Amount: ,836025.0000000
Change Orders to Date: ,174688.7700000
Total Revised Contract Amount: ,1010713.7700000
Billed To Date: ,765217.4200000
Left To Bill On Contract: ,245496.3500000
** Grand Totals **,
,,,,,516748.0000000,135857.2600000,652605.2600000,632692.0000000,19913.2600000,31522.8400000,-11609.5800000,96.9486516244138112
