,,Job No,Cost Code No,"Cost
Description",Original Estimated Costs,"Approved
CO's","Revised
Est
Cost","Costs
to Date","Remaining
Budget","Remaining 
Commited
Cost","Projected 
(Over)/Under","% Variance
Actual Vs
Budget"
,,24-34     ,         1,General Conditions,,,,18003.9000000,-18003.9000000,,-18003.9000000,
,,24-34     ,         2,Shop Drawings,10850.0000000,,10850.0000000,15450.0000000,-4600.0000000,,-4600.0000000,142.396313364055312
,,24-34     ,         3,Overnight Lodging Expenses,,,,27327.3400000,-27327.3400000,,-27327.3400000,
,,24-34     ,         4,Storefront, Curtain Wall and A,85251.0000000,,85251.0000000,125292.8300000,-40041.8300000,525.3800000,-40567.2100000,146.969337603077984
,,24-34     ,         6,Doors (Other),3500.0000000,,3500.0000000,,3500.0000000,,3500.0000000,
,,24-34     ,         7,Door Hardware,,,,3978.3100000,-3978.3100000,,-3978.3100000,
,,24-34     ,         8,Windows,378540.0000000,,378540.0000000,343345.3800000,35194.6200000,66866.0000000,-31671.3800000,90.7025360595973888
,,24-34     ,         9,Interior / Transaction Windows,900.0000000,,900.0000000,,900.0000000,,900.0000000,
,,24-34     ,        11,Insulated & Monolithic Glass,126910.0000000,,126910.0000000,123196.8200000,3713.1800000,,3713.1800000,97.0741627925301376
,,24-34     ,        12,Interior Glass Systems & Hardw,3678.0000000,,3678.0000000,,3678.0000000,,3678.0000000,
,,24-34     ,        15,Break Metal,6400.0000000,,6400.0000000,920.0000000,5480.0000000,,5480.0000000,14.3749999999999984
,,24-34     ,        16,Sealant,6122.0000000,,6122.0000000,13033.2500000,-6911.2500000,,-6911.2500000,212.892028748774944
,,24-34     ,        17,Steel,2604.0000000,,2604.0000000,1821.6200000,782.3800000,,782.3800000,69.9546850998463872
,,24-34     ,        18,Rental Equipment,35000.0000000,,35000.0000000,33443.8700000,1556.1300000,940.4000000,615.7300000,95.5539142857142912
,,24-34     ,        19,Tools & Small Equipment,7654.0000000,,7654.0000000,5256.2400000,2397.7600000,,2397.7600000,68.67311209824928
,,24-34     ,        20,Miscellaneous,7654.0000000,,7654.0000000,6895.5800000,758.4200000,50.5400000,707.8800000,90.091194146851328
,,24-34     ,        21,Safety Equipment and Tools,5103.0000000,,5103.0000000,,5103.0000000,,5103.0000000,
,,24-34     ,        22,In House Installation Labor,126840.0000000,,126840.0000000,97161.8400000,29678.1600000,,29678.1600000,76.60189214758752
,,24-34     ,        23,In House Fabrication Labor,18972.0000000,,18972.0000000,23959.4500000,-4987.4500000,,-4987.4500000,126.28847775669408
,,24-34     ,        24,Subcontracted Installation Lab,,,,158406.5600000,-158406.5600000,,-158406.5600000,
,,24-34     ,        28,Project Management ,51030.0000000,,51030.0000000,61562.8800000,-10532.8800000,,-10532.8800000,120.640564373897712
,,24-34     ,        30,Hardware ,10206.0000000,,10206.0000000,6095.8900000,4110.1100000,214.8500000,3895.2600000,59.7284930433078656
,,24-34     ,        31,Fire Rated / Blast Resistant ,,,,3489.0000000,-3489.0000000,,-3489.0000000,
,,24-34     ,        32,Shipping,3500.0000000,,3500.0000000,3448.6800000,51.3200000,,51.3200000,98.5337142857142784
,,24-34     ,        38,Health ,,,,2185.4700000,-2185.4700000,,-2185.4700000,
,,24-34     ,        39,Dental,,,,166.0600000,-166.0600000,,-166.0600000,
,,24-34     ,        40,Vision,,,,45.8100000,-45.8100000,,-45.8100000,
,,24-34     ,        41,Field Management,,,,4505.7800000,-4505.7800000,,-4505.7800000,
** Pickerington Central JHS Totals **,
,,24-34     ,,,890714.0000000,,890714.0000000,1078992.5600000,-188278.5600000,68597.1700000,-256875.7300000,121.137936531816048
,
Client Name: ,1029 - Ruscilli Construction Co
Original Contract Amount: ,1441940.0000000
Change Orders to Date: ,-3918.7100000
Total Revised Contract Amount: ,1438021.2900000
Billed To Date: ,1416391.2900000
Left To Bill On Contract: ,21630.0000000
** Grand Totals **,
,,,,,890714.0000000,,890714.0000000,1078992.5600000,-188278.5600000,68597.1700000,-256875.7300000,121.137936531816048
