,,Job No,Cost Code No,"Cost
Description",Original Estimated Costs,"Approved
CO's","Revised
Est
Cost","Costs
to Date","Remaining
Budget","Remaining 
Commited
Cost","Projected 
(Over)/Under","% Variance
Actual Vs
Budget"
,,25-24     ,         2,Shop Drawings,7400.0000000,,7400.0000000,9325.0000000,-1925.0000000,,-1925.0000000,126.013513513513536
,,25-24     ,         4,Storefront, Curtain Wall and A,65442.0000000,,65442.0000000,70085.7900000,-4643.7900000,,-4643.7900000,107.096039240854512
,,25-24     ,         7,Door Hardware,6500.0000000,,6500.0000000,1163.8900000,5336.1100000,,5336.1100000,17.9060000000000032
,,25-24     ,        11,Insulated & Monolithic Glass,50098.0000000,,50098.0000000,67692.7800000,-17594.7800000,,-17594.7800000,135.120723382170944
,,25-24     ,        15,Break Metal,3270.0000000,,3270.0000000,559.3000000,2710.7000000,,2710.7000000,17.1039755351681952
,,25-24     ,        16,Sealant,2034.0000000,,2034.0000000,,2034.0000000,,2034.0000000,
,,25-24     ,        17,Steel,3160.0000000,,3160.0000000,1110.0000000,2050.0000000,,2050.0000000,35.1265822784810112
,,25-24     ,        18,Rental Equipment,7800.0000000,,7800.0000000,15947.4200000,-8147.4200000,,-8147.4200000,204.454102564102592
,,25-24     ,        19,Tools & Small Equipment,1000.0000000,,1000.0000000,728.3600000,271.6400000,,271.6400000,72.836
,,25-24     ,        20,Miscellaneous,1000.0000000,,1000.0000000,8709.9400000,-7709.9400000,,-7709.9400000,870.993999999999872
,,25-24     ,        21,Safety Equipment and Tools,250.0000000,,250.0000000,,250.0000000,,250.0000000,
,,25-24     ,        22,In House Installation Labor,44735.0000000,,44735.0000000,34622.9200000,10112.0800000,,10112.0800000,77.3955962892589696
,,25-24     ,        23,In House Fabrication Labor,11920.0000000,,11920.0000000,17671.5400000,-5751.5400000,,-5751.5400000,148.251174496644288
,,25-24     ,        26,QC/Rework Labor,,,,278.8000000,-278.8000000,,-278.8000000,
,,25-24     ,        28,Project Management ,7900.0000000,,7900.0000000,26777.7300000,-18877.7300000,,-18877.7300000,338.958607594936704
,,25-24     ,        30,Hardware ,1500.0000000,,1500.0000000,2730.4600000,-1230.4600000,,-1230.4600000,182.030666666666656
,,25-24     ,        32,Shipping,3000.0000000,,3000.0000000,535.3700000,2464.6300000,,2464.6300000,17.8456666666666656
,,25-24     ,        38,Health ,,,,1042.0500000,-1042.0500000,,-1042.0500000,
,,25-24     ,        39,Dental,,,,65.3800000,-65.3800000,,-65.3800000,
,,25-24     ,        40,Vision,,,,35.1600000,-35.1600000,,-35.1600000,
,,25-24     ,        41,Field Management,,,,383.1200000,-383.1200000,,-383.1200000,
,,25-24     ,        42,Shop Management,,,,724.6200000,-724.6200000,,-724.6200000,
** Seasons X  Totals **,
,,25-24     ,,,217009.0000000,,217009.0000000,260189.6300000,-43180.6300000,,-43180.6300000,119.898082568004096
,
Client Name: ,1042 - Ray Fogg Building Methods
Original Contract Amount: ,346340.0000000
Change Orders to Date: ,-11575.0000000
Total Revised Contract Amount: ,334765.0000000
Billed To Date: ,334765.0000000
Left To Bill On Contract: ,0
** Grand Totals **,
,,,,,217009.0000000,,217009.0000000,260189.6300000,-43180.6300000,,-43180.6300000,119.898082568004096
